highlights,no_ratings,prod_desc,product_name,product_price,product_rating
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,7.5 kg",9,,"IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,  (ELITE PLUS SXR)","36,499",3.7
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 12,6.5 kg : Great for a family of 3",131,"Aqua Energie,Cradle Wash,3D Wash System,Laundry Add,Express Wash,Crescent Moon Drum,Air Bubble Wash,High Low Voltage Protection,Auto Imbalance System,Child Lock,Foam-control System,Baby Wear,Anti Allergen,Time Delay","IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (Senorita WX)","33,699",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 14,7.5 kg : Great for family of 4",38,"Aqua Energie,Cradle Wash,Crescent Moon Drum,Ball Valve Technology,Air Bubble Wash,High Low Voltage Protection,Auto Imbalance System,Child Lock,Foam Control System,4D Wash System,Baby Wear,Clean Clothes,Time Delay,9 Swirl Wash","IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,  (Elite Plus VX ID)","40,549",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 6 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3",634,"Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,3D Wash System,Triadic Pulsator,Smart Sense,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Express Wash,High Low Voltage Protection","IFB 6.5 kg Fully Automatic Top Load Grey,  (TL-RCG/RCSG 6.5 KG AQUA)","21,299",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 10,7.5 kg : Great for family of 4",218,"Aqua Energie,Tiradic Pulsator,3D Wash System for a Thorough Wash,Smart Sense,Aqua Conserve,Not a Trace of Detergent Residue,Drum Lamp","IFB 7.5 kg Fully Automatic Top Load Silver,  (TL- SDR /SSDR Aqua)","28,944",4.2
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,7 kg : Great for a family of 3","5,153","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 7 kg Fully Automatic Top Load White,  (TL- SDW 7.0KG AQUA)","20,490",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,8 kg : Great for family of 4",97,"Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 8 kg Fully Automatic Top Load Grey,  (TL- SDG / SSDG Aqua)","31,499",4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,800 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,6 kg : Great for Single/Couple",117,,"IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (Diva Aqua SX)","24,990",4.2
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 13 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3",90,"Aqua Energie,Cradle Wash,Smartphone Control,Time Saver,Crescent Moon Drum,Laundry Add Option,Auto Imbalance System,3D Wash System,Express Wash,Air Bubble Wash,Voltage Protection,Child Lock,Foam-control System,Time Delay","IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,  (Senorita Smart SX)","31,499",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3","1,311","Performance,Daily Needs,Hygiene & Safety Programs,3D Wash System,Aqua Energie,Power","IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (Senorita Aqua VX)","29,999",4.4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,7 kg : Great for a family of 3",563,"Type & Design,Performance,Daily Needs,Hygiene & Safety Programs,3D Wash System,Aqua Energie,Air Bubble Wash System,Power","IFB 7 kg Fully Automatic Front Load with In-built Heater Silver,  (Elite Aqua SX)","32,490",4.4
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 12 : With higher wash programs-Wash a variety of fabrics,8 kg : Great for family of 4",97,,"IFB 8 kg Fully Automatic Top Load Silver,  (TL- SSDG Aqua)","28,899",4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 100 : With higher wash programs-Wash a variety of fabrics,7 kg : Great for a family of 3",61,"Type and Design,Easy Loading Pedestal,Ball Valve Technology,Uniform Wash,Repeat Wash,Pet Hair Removal,Aqua Energie,Air Bubble Wash System,Crescent Moon Drum,Power","IFB 7 kg Fully Automatic Front Load with In-built Heater White,  (SENATOR SMART VX)","33,950",3.7
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,6 kg : Great for Single/Couple",823,"Aqua Energie,2D Shower System,Laundry Add,Crescent Moon Drum,Protective Rat Mesh,Foam Control","IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (Elena Aqua SX LDT)","28,690",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 8 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3",288,"CradleWash Technology,Aqua Energie Technology,2D Wash System,Protection Against Voltage Fluctuation,Auto Balance System,Crescent Moon Drum,Other Features","IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (Serena Aqua VX)","28,999",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,800 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 8 : With higher wash programs-Wash a variety of fabrics,6 kg : Great for Single/Couple",747,"2D Shower System,Ball Valve Technology,Laundry Add,Aqua Energie,Crescent Moon Drum,Capacity,Power","IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (EVA AQUA SX LDT)","24,070",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1400 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 14,5 Star Rating,8 kg",,,"IFB 8 kg 5 Star Fully Automatic Front Load with In-built Heater Silver,  (SENATOR PLUS SX)","40,490",
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,800 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,6 kg : Great for Single/Couple",597,"Type and Design,Performance,Aqua Energie,2D Shower System,Crescent Moon Drum,Convenience Features,Power","IFB 6 kg Fully Automatic Front Load with In-built Heater White,  (Elena Aqua VX)","23,999",4.4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,800 rpm  : Higher the spin speed, lower the drying time,6 kg",65,,"IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (NEODIVA-SX)","25,990",4.1
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,800 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 8 : With higher wash programs-Wash a variety of fabrics,6 kg : Great for Single/Couple","37,190","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 6 kg 2D Wash Fully Automatic Front Load with In-built Heater White,  (Diva Aqua VX)","20,990",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15,7 kg : Great for a family of 3","5,770","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 7 kg 2D Wash, Self Diagnosis Fully Automatic Front Load with In-built Heater Silver,  (Serena Aqua Sx LDT 7.0 KG)","27,490",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1400 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 14,8 kg : Great for family of 4","2,014","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 8 kg Unbalance correction, self-diagnosis Fully Automatic Front Load with In-built Heater Silver,  (Senator WXS)","35,490",4.5
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,6.5 kg","5,974","Deep Washing,Aqua Energie,3D Wash System,Express Wash,Program Memory Backup,Triadic Pulsator,Bleach Dispenser,Smart Sense,Crescent Moon Drum,Aqua Conserve,Lint Tower Filter,Auto Imbalance Correction System,High/Low Voltage Protection","IFB 6.5 kg Water softener Aqua Energie Fully Automatic Top Load White,  (TL-REW Aqua 6.5 kg)","15,490",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 6 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3","5,974","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 6.5 kg Water softener Aqua Energie, Auto Imbalance Fully Automatic Top Load Silver,  (TL-RDS/RDSS 6.5 kg Aqua)","19,499",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,6.5 kg",187,"Aqua Energie,3D Wash System,Crescent-moon-shaped Drum,Ball Valve Technology,Child Lock,Heater Technology,Express Wash/Quick Wash,Unbalance Correction,High-low Voltage,Foam Detection,Door Open Angle of 180 degrees","IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,  (ELENA ZXS)","29,490",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,7 kg : Great for a family of 3","5,153","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 7 kg Fully Automatic Top Load Grey,  (TL-SDG / SGDG 7.0KG AQUA)","22,167",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1400 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 14,8.5 kg : Great for Large families",297,"Aqua Energie,9 Swirl Wash,Cradle Wash,Express Wash,Crescent Moon Drum,Ball Valve Technology,Air Bubble Wash,High Low Voltage Protection,Auto Imbalance System,Child Lock,Foam Control System,4D Wash System,Baby Wear,Anti Allergen,Time Delay","IFB 8.5 kg Fully Automatic Front Load with In-built Heater White,  (Executive Plus VX ID)","43,990",4.4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,7 kg",132,"Aqua Energie,3D Wash System,Crescent Moon Drum,Ball Valve Technology,Child Lock,Heater,Express Wash,Unbalance Correction,Safe-to-use,Foam Detection,Wide Door","IFB 7 kg Fully Automatic Front Load with In-built Heater Silver,  (SERENA ZXS)","30,990",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,6.5 kg","6,962","Aqua Energie,3D Wash System,Crescent Moon Drum,Ball Valve Technology,Child Lock,Heater,Express Wash,Unbalance Correction,Foam Detection,180-degree Door Opening Angle","IFB 6.5 kg Fully Automatic Front Load with In-built Heater White,  (ELENA ZX)","28,990",4.4
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 8 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3","1,151","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 6.5 kg Fully Automatic Top Load Red,  (TL- SDR /SSDR 6.5 KG Aqua)","20,600",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,6 kg",85,"Aqua Energie,2D Wash System,Crescent Moon Drum,Ball Valve Technology,Child Lock,In-built Heater,Quick Wash,Auto-balance System,Voltage Protection,Foam Control System,Wide Door","IFB 6 kg Fully Automatic Front Load with In-built Heater Silver,  (EVA ZXS)","28,490",4.6
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,800 rpm  : Higher the spin speed, lower the drying time,6 kg",56,,"IFB 6 kg Fully Automatic Front Load with In-built Heater White,  (NEODIVA-VX)","24,490",4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,6 kg",45,"Aqua Energie,2D Wash System,Crescent Moon Drum,Ball Valve Technology,Child Lock,Inbuilt heater,Quick Wash,Auto Balance System,High and Low Voltage Protection,Foam Control System,Wider Door","IFB 6 kg Fully Automatic Front Load with In-built Heater White,  (EVA ZX)","26,990",4.2
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 14,7 kg : Great for a family of 3",140,"Aqua Energie - Softer Wash, Cleaner Clothes,Cradle Wash - Not Every Fabric Is the Same,Ball Valve Technology - Enhanced Wash with Minimum Wastage,Crescent Moon Drum - Treating Your Apparel with Care,Laundry Add Option - Brownie Points for Remembering,Foam Control System - Foamy Clothes? Not Anymore","IFB 7 kg Fully Automatic Front Load with In-built Heater White,  (Serena WX)","32,490",4.2
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 14,6.5 kg : Great for a family of 3",75,"Aqua Energie,Cradle Wash,3D Wash System,Laundry Add,Express Wash,Crescent Moon Drum,Air Bubble Wash,High Low Voltage Protection,Auto Imbalance System,Child Lock,Foam Control System,Baby Wear,Anti-allergen,Time Delay","IFB 6.5 kg Fully Automatic Front Load with In-built Heater Silver,  (Senorita WXS)","32,899",4.3
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 14,7.5 kg : Great for family of 4",343,"Aqua Energie,Cradle Wash,3D Wash System,Express Wash,Crescent Moon Drum,Ball Valve Technology,Air Bubble Wash,Voltage Protection,Auto Imbalance System,Child Lock,Foam Control System,Care for Baby Wear,Anti Allergen,Time Delay","IFB 7.5 kg Fully Automatic Front Load with In-built Heater White,  (Elite WX)","36,250",4.4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,6.5 kg",105,"Aqua Energie,3D Wash System,Crescent Moon Drum,Ball Valve Technology,Child Lock,Heater Technology,Express Wash or Quick Wash Feature,Auto Balance System,Foam Detection,180° Door Angle,High-low Voltage","IFB 6.5 kg Wifi-Enabled Fully Automatic Front Load with In-built Heater White,  (Senorita ZX)","32,490",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 12 : With higher wash programs-Wash a variety of fabrics,9.5 kg : Great for Large families",384,"Tiradic Pulsator,Aqua Energie,Crescent Moon Drum,Express Wash,Smart Sense,Hygiene Plus,Drum Lamp","IFB 9.5 kg Fully Automatic Top Load Grey,  (TL-SDG 9.5 Kg Aqua)","29,295",4.1
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1400 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,8 kg : Great for family of 4","14,077","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 8 kg Water softener Aqua Energie,3D Wash Fully Automatic Front Load with In-built Heater Silver,  (Senator Aqua SX)","33,499",4.4
"Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 15 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3","6,962","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 6.5 kg 3D Wash Fully Automatic Front Load with In-built Heater Silver,  (Senorita Aqua SX 6.5)","29,990",4.4
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,7.5 kg : Great for family of 4",305,"Triadic Pulsator,Aqua Spa Therapy,Aqua Energie,3D Wash System,Hygiene Plus,Bleach Dispenser,Smart Sense,Auto Softener Dispenser,Crescent Moon Drum,Capacity,Power","IFB 7.5 kg Fully Automatic Top Load Gold,  (TL- RCH 7.5 KG Aqua)","26,499",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 6 : With higher wash programs-Wash a variety of fabrics,6.5 kg : Great for a family of 3","20,294","Deep Clean Technology,Aqua Spa Therapy,Aqua Energie,Triadic Pulsator,Auto Softener Dispenser,Crescent Moon Drum,Hygiene Plus,Auto Balance System,Protection from Voltage Fluctuations","IFB 6.5 kg Water softener Aqua Energie Fully Automatic Top Load White,  (TL- RDW 6.5KG Aqua)","16,990",4.3
"Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,720 rpm  : Higher the spin speed, lower the drying time,8.5 kg",,,"IFB 8.5 kg Fully Automatic Top Load with In-built Heater Brown,  (TL85SDBR)","31,900",
